,slow_speed_0_avg,slow_speed_0_std,slow_speed_1_avg,slow_speed_1_std,slow_speed_2_avg,slow_speed_2_std,slow_speed_3_avg,slow_speed_3_std,slow_speed_4_avg,slow_speed_4_std,slow_speed_5_avg,slow_speed_5_std,slow_speed_6_avg,slow_speed_6_std,slow_speed_7_avg,slow_speed_7_std,slow_speed_8_avg,slow_speed_8_std,slow_speed_9_avg,slow_speed_9_std
0.0,199.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0
0.1,200.0,2.6076809620810595,199.3,0.6403124237432849,198.4,3.6932370625238775,198.8,1.8330302779823362,199.1,2.947880594596735,197.9,1.9209372712298545,197.6,2.6532998322843198,199.5,2.3769728648009427,200.0,3.1937438845342623,200.2,3.9949968710876353
0.2,199.4,3.6660605559646724,196.8,2.6,200.1,6.220128616033595,199.5,4.5,201.1,4.3920382511995495,204.3,8.025584090893322,199.2,5.979966555090422,200.4,6.7852781814749505,201.7,3.0347981810987035,199.4,1.8547236990991405
0.30000000000000004,197.0,2.4083189157584592,199.9,3.330165161069343,204.6,7.0738956735309575,204.3,5.692978130996113,201.8,6.2577951388648065,202.7,5.64003546088143,200.8,2.4,202.3,3.377869150810907,202.0,4.919349550499537,198.0,2.756809750418044
0.4,197.2,4.377213725647858,201.7,5.933801479658719,204.2,7.45385806143369,206.9,9.224424101265075,202.7,7.836453279386026,201.0,2.6457513110645907,201.6,4.903060268852505,200.0,3.1304951684997055,200.9,4.784349485562274,199.8,4.044749683231337
0.5,201.0,4.69041575982343,207.0,4.6475800154489,203.0,8.024961059095553,200.5,6.5,205.9,6.220128616033595,206.6,8.822698000045111,205.3,7.563729238940273,200.0,5.291502622129181,199.9,5.3935146240647205,200.6,3.0724582991474434
0.6000000000000001,199.1,4.678675026115834,200.9,6.4257295305669375,205.8,7.054076835419359,209.9,7.712976079309464,208.7,9.241753080449618,211.3,7.6164296097318465,201.1,7.049113419430844,199.8,4.66476151587624,198.0,4.8373546489791295,198.1,2.5865034312755126
0.7000000000000001,200.1,4.887739763939974,206.9,5.61159513863928,209.6,10.403845442911962,206.3,8.579627031520658,209.0,10.648943609579309,211.2,7.704544113703289,206.8,6.144916598294887,200.9,9.104394543296111,195.4,3.006659275674582,197.6,4.565084884205331
0.8,199.8,4.995998398718719,203.1,5.048762224545736,213.0,5.5677643628300215,205.1,8.700000000000001,212.2,6.493073232299171,213.0,7.615773105863909,206.0,4.242640687119285,200.5,6.375735251718032,201.3,4.337049688440287,197.9,3.986226285598949
0.9,198.7,2.41039415863879,207.0,6.06630035524124,210.1,3.935733730830885,208.6,3.8522720568516444,220.9,7.569015788066504,212.5,6.637017402418047,213.5,3.263433774416144,196.1,4.22965719651132,200.9,4.085339643163099,196.1,2.5865034312755126
1.0,199.0,0.0,212.0,0.0,214.0,0.0,208.0,0.0,227.0,0.0,216.0,0.0,214.0,0.0,193.0,0.0,207.0,0.0,195.0,0.0
