Unnamed: 0,slow_speed_0_avg,slow_speed_0_std,slow_speed_1_avg,slow_speed_1_std,slow_speed_2_avg,slow_speed_2_std,slow_speed_3_avg,slow_speed_3_std,slow_speed_4_avg,slow_speed_4_std,slow_speed_5_avg,slow_speed_5_std,slow_speed_6_avg,slow_speed_6_std,slow_speed_7_avg,slow_speed_7_std,slow_speed_8_avg,slow_speed_8_std,slow_speed_9_avg,slow_speed_9_std
0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0
0.1,258.8,5.1146847410177685,257.4,1.562049935181331,256.7,1.1,255.7,3.034798181098703,256.9,1.374772708486752,255.8,2.7129319932501077,257.5,0.806225774829855,257.0,1.095445115010332,257.3,0.6403124237432849,257.0,0.0
0.2,260.9,4.253234063627347,254.6,2.8705400188814645,255.2,1.32664991614216,256.2,2.3579652245103198,256.1,3.1128764832546763,255.2,1.661324772583615,256.9,1.374772708486752,258.0,1.2649110640673518,256.9,1.044030650891055,257.3,0.6403124237432849
0.3,260.7,3.976179070414208,252.0,3.5496478698597698,254.6,2.576819745345025,255.6,1.9078784028338915,253.0,3.130495168499705,255.8,1.833030277982336,256.9,2.7,257.4,0.66332495807108,255.7,1.676305461424021,257.1,0.3
0.4,257.9,3.047950130825634,251.9,4.968903299521937,254.2,2.481934729198171,251.8,4.06939798987516,254.8,2.2271057451320084,254.7,2.531797780234432,256.6,2.154065922853802,257.1,1.5779733838059502,256.3,1.8466185312619383,257.2,0.4
0.5,259.4,5.730619512757761,248.4,4.6946778377222005,253.1,1.8138357147217048,253.6,3.5270384177096794,253.6,3.6110940170535577,253.8,2.481934729198171,254.5,2.01246117974981,256.3,1.7916472867168918,256.9,1.044030650891055,257.6,1.0198039027185568
0.6000000000000001,261.2,5.546169849544819,253.7,4.450842616853577,251.4,2.90516780926679,252.2,2.6,250.7,2.9681644159311658,253.3,4.1,253.8,2.6758176320519302,256.4,2.4979991993593598,255.8,1.8867962264113207,257.8,1.5362291495737217
0.7000000000000001,261.0,3.0659419433511785,250.5,2.4596747752497685,251.9,2.879236009777593,252.4,2.2,253.6,3.006659275674582,253.7,1.9,255.8,2.3579652245103198,255.9,2.0223748416156684,256.5,0.9219544457292888,256.9,0.3
0.8,257.8,3.815756805667783,248.9,3.0805843601498726,252.9,3.672873534441392,250.8,2.1354156504062622,253.5,3.263433774416144,251.6,4.152107898405339,253.3,2.6095976701399777,256.0,1.8439088914585773,256.2,1.6,257.3,0.4582575694955839
0.9,257.0,3.872983346207417,252.4,4.651881339845202,249.2,2.993325909419153,252.0,3.3166247903554,251.1,3.269556544854363,250.2,1.661324772583615,252.3,1.9519221295943132,256.1,1.5132745950421556,256.9,1.044030650891055,257.4,0.916515138991168
1.0,253.0,0.0,252.0,0.0,252.0,0.0,248.0,0.0,246.0,0.0,250.0,0.0,254.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0
